year,country,animal_id,order,family,genus,binomial,pregnant_mod,lactating_mod,specimen_id,specimen_type_group,test_requested,test_requested_protocol,test_requested_mod,test_requested_viral_family,diagnostic_laboratory_name,test_id,confirmation_result_mod,virus_detected,viral_species
2010,Mexico,6372,Chiroptera,Vespertilionidae,Myotis,Myotis velifer,0,0,17569,oral/nasal/oropharyngeal swab,Coronaviruses,"Quan et al, RdRp gene","Coronaviridae, Coronaviruses: Quan, RdRp",Coronaviridae,"Center for Infection and Immunity, Columbia University",183262,Negative,0,NA
2010,Mexico,6372,Chiroptera,Vespertilionidae,Myotis,Myotis velifer,0,0,17570,rectal/anal swab,Coronaviruses,"Quan et al, RdRp gene","Coronaviridae, Coronaviruses: Quan, RdRp",Coronaviridae,"Center for Infection and Immunity, Columbia University",183287,Negative,0,NA
2010,Mexico,6372,Chiroptera,Vespertilionidae,Myotis,Myotis velifer,0,0,17575,blood products,Coronaviruses,"Quan et al, RdRp gene","Coronaviridae, Coronaviruses: Quan, RdRp",Coronaviridae,"Center for Infection and Immunity, Columbia University",183233,Negative,0,NA
2010,Mexico,6375,Chiroptera,Molossidae,Tadarida,Tadarida brasiliensis,0,0,17583,rectal/anal swab,Coronaviruses,"Quan et al, RdRp gene","Coronaviridae, Coronaviruses: Quan, RdRp",Coronaviridae,"Center for Infection and Immunity, Columbia University",183289,Positive,1,PREDICT_CoV-8
2010,Mexico,6375,Chiroptera,Molossidae,Tadarida,Tadarida brasiliensis,0,0,17654,blood products,Coronaviruses,"Quan et al, RdRp gene","Coronaviridae, Coronaviruses: Quan, RdRp",Coronaviridae,"Center for Infection and Immunity, Columbia University",183235,Negative,0,NA
2010,Mexico,6375,Chiroptera,Molossidae,Tadarida,Tadarida brasiliensis,0,0,17938,oral/nasal/oropharyngeal swab,Coronaviruses,"Quan et al, RdRp gene","Coronaviridae, Coronaviruses: Quan, RdRp",Coronaviridae,"Center for Infection and Immunity, Columbia University",183265,Negative,0,NA
2010,Mexico,6384,Chiroptera,Molossidae,Tadarida,Tadarida brasiliensis,0,0,17735,rectal/anal swab,Coronaviruses,"Quan et al, RdRp gene","Coronaviridae, Coronaviruses: Quan, RdRp",Coronaviridae,"Center for Infection and Immunity, Columbia University",183297,Negative,0,NA
2010,Mexico,6384,Chiroptera,Molossidae,Tadarida,Tadarida brasiliensis,0,0,17879,blood products,Coronaviruses,"Quan et al, RdRp gene","Coronaviridae, Coronaviruses: Quan, RdRp",Coronaviridae,"Center for Infection and Immunity, Columbia University",183243,Negative,0,NA
2011,Mexico,31606,Chiroptera,Phyllostomidae,Glossophaga,Glossophaga soricina,0,0,180750,rectal/anal swab,Coronaviruses,"Quan et al, RdRp gene","Coronaviridae, Coronaviruses: Quan, RdRp",Coronaviridae,Mexican Social Security Institute,186435,Negative,0,NA
2011,Mexico,31606,Chiroptera,Phyllostomidae,Glossophaga,Glossophaga soricina,0,0,180750,rectal/anal swab,Paramyxoviruses,"Tong et al, Pol gene","Paramyxoviridae, Paramyxoviruses: Tong, Pol",Paramyxoviridae,Mexican Social Security Institute,186325,Negative,0,NA
