diagnostic_laboratory_name,diagnostic_laboratory_name_mod
"Wildlife Health, Genetic and Forensic Laboratory, Sabah Wildlife Department","Sabah Wildlife Department's Wildlife Health, Genetic and Forensic Laboratory"
"Primate Research Center, Bogor Agricultural University","Primate Research Center, Bogor Agricultural University"
"Center for Infection and Immunity, Columbia University","Center for Infection and Immunity, Columbia University"
UC Davis Wildlife Diagnostic Lab,UC Davis Wildlife Diagnostic Lab                                   
SUA Predict Lab/UC Davis Wildlife Diagnostic Lab,Sokoine University of Agriculture PREDICT Lab/UC Davis Wildlife Diagnostic Lab
Regional Animal Health Office No. 6,Regional Animal Health Office No. 6 (RAH06) of Vietnam                                  
"ICB II, University of São Paulo","Instituto de Ciências Biomédicas II, University of São Paulo"
"WHO-CC viral zoonoses, Chulalongkorn University",WHO Collaborating Center at Chulalongkorn University            
"Biomedicina LAB, INS, Lima","Instituto Nacional de Salud, Lima"
CIRMF,"Centre International de Recherches Medicales, Gabon"
MUWRP,"Makerere University Walter Reed Project, Uganda"
Institut Pasteur Cambodia,Institut Pasteur in Cambodia  
Instituto de Biologia Molecular y Biotecnología,"Instituto de Biologia Molecular y Biotecnología, Bolivia"
Laboratorio de Medicina de Conservación ESM IPN,"Laboratorio de Medicina de Conservación, ESM, IPN, Mexico City"
Mexican Social Security Institute,Mexican Social Security Institute
